orig_model	model	color	OTU	X1	X2
345	7	model_7	#D6404E	ASV_530	-3.98403211987291	-19.0200575913304
346	10	model_10	#FEE695	ASV_745	11.9620044083068	-3.591153296263
347	10	model_10	#FEE695	ASV_499	17.6759129773798	-11.9926098569087
348	29	mini_model	#C1C1C1	ASV_754	19.7033534785489	8.48282937677034
349	7	model_7	#D6404E	ASV_46	-11.8946921823289	-9.26951763013188
350	7	model_7	#D6404E	ASV_119	-9.41812057067483	-18.9019172552183
351	4	model_4	#E65948	ASV_153	-13.9304518968206	9.05873425519727
352	10	model_10	#FEE695	ASV_227	19.1507765558418	-11.5122249687885
353	7	model_7	#D6404E	ASV_77	-5.43362747919322	-14.6018043161798
354	7	model_7	#D6404E	ASV_181	-8.62825792498999	-13.3809029720713
355	11	model_11	#FDD07D	ASV_213	-0.0597877836982218	-24.9885832727315
356	9	model_9	#FEF6B1	ASV_423	4.16733589637006	19.450143378748
357	1	model_1	#9E0142	ASV_383	-7.52973626089015	3.27956702417507
358	2	model_2	#BA2148	ASV_760	-2.95568790463549	1.14240252044741
359	2	model_2	#BA2148	ASV_805	0.418994933464473	-4.32580082776671
360	23	mini_model	#C1C1C1	ASV_265	22.2878620549968	4.46013755279374
361	2	model_2	#BA2148	ASV_327	1.70661314975743	-5.75329731114451
362	7	model_7	#D6404E	ASV_439	1.25938820033268	-10.930788197892
363	7	model_7	#D6404E	ASV_89	-4.10721127063744	-20.7382115244681
364	13	model_13	#B4E0A2	ASV_1247	23.2043597025433	-7.56471735600877
365	4	model_4	#E65948	ASV_360	-15.8896525099728	11.6198748822936
366	2	model_2	#BA2148	ASV_938	4.71890159726089	-4.33775687279109
367	2	model_2	#BA2148	ASV_164	1.71607959575497	-2.74869245339685
368	10	model_10	#FEE695	ASV_618	15.8379293943907	-5.75713823586287
369	2	model_2	#BA2148	ASV_892	1.25447311955375	5.11032004390405
370	35	mini_model	#C1C1C1	ASV_794	23.0215093984843	3.15576628623789
