OTUID	All	D	H	I
ASV_384	0.031104	0.002250629	0.043294146	0.004140393
ASV_394	0.029385	0.003961589	0.039167929	0.010294879
ASV_226	0.021834	0.02320630	0.02382441	0.01058352
ASV_489	0.025015	0.007875672	0.033894466	0.001011682
ASV_304	0.018192	0.077928519	0.004769338	0.016425160
ASV_313	0.030119	0.009158652	0.037496558	0.017733317
ASV_721	0.023631	0.002645235	0.032779498	0.002640354
ASV_1157	0.019432	0.11353683	0.00170094	0.00000000
ASV_665	0.020402	0.01471927	0.02552958	0.00180114
ASV_251	0.024307	0.01618436	0.02359445	0.03691764
ASV_846	0.039818	0.0003804524	0.0565909668	0.0024146049
ASV_217	0.022111	0.02582711	0.01920519	0.03209688
ASV_1011	0.019456	0.01093913	0.02110637	0.02099374
ASV_482	0.023463	0.01664008	0.02687754	0.01449361
ASV_407	0.018649	0.016468374	0.022548792	0.002088894
ASV_714	0.023014	0.000000000	0.031712904	0.006497557
ASV_772	0.018199	0.009280334	0.021922647	0.010078555
ASV_392	0.020995	0.005801129	0.026891544	0.009340256
ASV_426	0.022731	0.011928731	0.028276465	0.007851432
ASV_369	0.01984	0.004447540	0.027076700	0.001875874
ASV_289	0.020675	0.007549025	0.019522699	0.041056828
ASV_212	0.02273	0.012166750	0.027972947	0.009050991
ASV_477	0.025397	0.014613336	0.031526062	0.007649766
ASV_340	0.019904	0.01863171	0.02143111	0.01389025
ASV_1088	0.026351	0.009138967	0.034583810	0.005578129
ASV_423	0.019734	0.02258080	0.01805388	0.02472486
ASV_288	0.02111	0.01303838	0.01945860	0.03824369
ASV_503	0.021292	0.002489529	0.028704466	0.006308493
ASV_474	0.021249	0.03934554	0.01170356	0.04742697
ASV_575	0.02165	0.01426865	0.02427118	0.01717425
ASV_478	0.023536	0.013851396	0.028824960	0.008649141
ASV_357	0.020772	0.01643956	0.02397909	0.01001361
ASV_362	0.021258	0.001795693	0.029772360	0.001647205
ASV_709	0.020301	0.008599354	0.019593706	0.036914921
ASV_456	0.020421	0.01766525	0.02040204	0.02361327
ASV_564	0.022504	0.023054641	0.025690978	0.006346042
ASV_64	0.020854	0.013136146	0.025539841	0.006689799
ASV_402	0.020489	0.013470604	0.024485774	0.008899436
ASV_383	0.024547	0.002818914	0.014322966	0.098831843
ASV_411	0.018245	0.001767277	0.025101002	0.003356706
ASV_918	0.019954	0.01594778	0.02146856	0.01707763
ASV_804	0.016749	0.002884909	0.008396911	0.073062418
ASV_641	0.017749	0.003414228	0.023713901	0.004798779
ASV_566	0.016904	0.034407216	0.007542625	0.042849467
ASV_703	0.018626	0.010908179	0.022910922	0.006418363
ASV_662	0.02042	0.01552178	0.01956230	0.03011441
ASV_335	0.019702	0.01620964	0.01998384	0.02225522
